Loading Type,Constraint,Number of Layer,E1/E2,a/h,Configuration,Deflection 
SSL,CCCC,16,10,100,HE3,0.24984916
SSL,CCCC,16,10,100,HS1,0.264381092
SSL,CCCC,16,10,100,HS2,0.260056108
SSL,CCCC,16,10,100,HS3,0.252985264
SSL,CCCC,16,10,100,LH1,0.242437036
SSL,CCCC,16,10,100,LH2,0.24412012
SSL,CCCC,16,10,100,LH3,0.246006336
SSL,CCCC,16,10,100,FH,0.25059202
SSL,CCCC,16,10,100,QI,0.246228356
SSL,CCCC,16,40,10,HR1,0.270135664
SSL,CCCC,16,40,10,HR2,0.3074951
SSL,CCCC,16,40,10,HR3,0.326992424
SSL,CCCC,16,40,10,HE1,0.252289664
SSL,CCCC,16,40,10,HE2,0.256839944
SSL,CCCC,16,40,10,HE3,0.248856536
SSL,CCCC,16,40,10,HS1,0.285857472
SSL,CCCC,16,40,10,HS2,0.263900052
SSL,CCCC,16,40,10,HS3,0.225672472
SSL,CCCC,16,40,10,LH1,0.27207538
SSL,CCCC,16,40,10,LH2,0.282061032
SSL,CCCC,16,40,10,LH3,0.292325504
SSL,CCCC,16,40,10,FH,0.299303604
SSL,CCCC,16,40,10,QI,0.222788272
SSL,CCCC,16,40,100,HR1,0.06807854
SSL,CCCC,16,40,100,HR2,0.069779968
SSL,CCCC,16,40,100,HR3,0.071723516
SSL,CCCC,16,40,100,HE1,0.06852996
SSL,CCCC,16,40,100,HE2,0.071282976
SSL,CCCC,16,40,100,HE3,0.073484888
SSL,CCCC,16,40,100,HS1,0.079769776
SSL,CCCC,16,40,100,HS2,0.07804654
SSL,CCCC,16,40,100,HS3,0.074508228
SSL,CCCC,16,40,100,LH1,0.069063148
SSL,CCCC,16,40,100,LH2,0.069923616
SSL,CCCC,16,40,100,LH3,0.070909356
SSL,CCCC,16,40,100,FH,0.073813544
SSL,CCCC,16,40,100,QI,0.071383232
SSL,CCCC,20,10,10,HR1,0.452787644
SSL,CCCC,20,10,10,HR2,0.494212856
SSL,CCCC,20,10,10,HR3,0.480434048
SSL,CCCC,20,10,10,HE1,0.42585192
SSL,CCCC,20,10,10,HE2,0.431570608
SSL,CCCC,20,10,10,HE3,0.432745772
SSL,CCCC,20,10,10,HS1,0.465131376
SSL,CCCC,20,10,10,HS2,0.453852624
SSL,CCCC,20,10,10,HS3,0.423562208
SSL,CCCC,20,10,10,LH1,0.445346832
SSL,CCCC,20,10,10,LH2,0.458422236
SSL,CCCC,20,10,10,LH3,0.471376564
SSL,CCCC,20,10,10,FH,0.442987836
SSL,CCCC,20,10,10,QI,0.409756416
SSL,CCCC,20,10,100,HR1,0.241697948
SSL,CCCC,20,10,100,HR2,0.246533168
SSL,CCCC,20,10,100,HR3,0.24937292
SSL,CCCC,20,10,100,HE1,0.244451048
SSL,CCCC,20,10,100,HE2,0.248421724
SSL,CCCC,20,10,100,HE3,0.253424436
SSL,CCCC,20,10,100,HS1,0.26738064
SSL,CCCC,20,10,100,HS2,0.263891184
SSL,CCCC,20,10,100,HS3,0.2521206
SSL,CCCC,20,10,100,LH1,0.244629948
SSL,CCCC,20,10,100,LH2,0.24725114
SSL,CCCC,20,10,100,LH3,0.25003258
SSL,CCCC,20,10,100,FH,0.250392348
SSL,CCCC,20,10,100,QI,0.246364364
SSL,CCCC,20,40,10,HR1,0.292037876
SSL,CCCC,20,40,10,HR2,0.327761592
SSL,CCCC,20,40,10,HR3,0.304026592
SSL,CCCC,20,40,10,HE1,0.255541832
SSL,CCCC,20,40,10,HE2,0.24804768
SSL,CCCC,20,40,10,HE3,0.245023808
SSL,CCCC,20,40,10,HS1,0.28658368
SSL,CCCC,20,40,10,HS2,0.266963556
SSL,CCCC,20,40,10,HS3,0.229065508
SSL,CCCC,20,40,10,LH1,0.282732124
SSL,CCCC,20,40,10,LH2,0.29575426
SSL,CCCC,20,40,10,LH3,0.307578284
SSL,CCCC,20,40,10,FH,0.266455292
SSL,CCCC,20,40,10,QI,0.222522604
SSL,CCCC,20,40,100,HR1,0.068966348
SSL,CCCC,20,40,100,HR2,0.071986568
SSL,CCCC,20,40,100,HR3,0.073514812
SSL,CCCC,20,40,100,HE1,0.069996824
SSL,CCCC,20,40,100,HE2,0.072762328
SSL,CCCC,20,40,100,HE3,0.07506594
SSL,CCCC,20,40,100,HS1,0.081314412
SSL,CCCC,20,40,100,HS2,0.079940104
SSL,CCCC,20,40,100,HS3,0.074109344
SSL,CCCC,20,40,100,LH1,0.070156556
SSL,CCCC,20,40,100,LH2,0.071518644
SSL,CCCC,20,40,100,LH3,0.073004864
SSL,CCCC,20,40,100,FH,0.073562324
SSL,CCCC,20,40,100,QI,0.071435884
SSL,SSSS,12,10,10,HR1,0.977148556
SSL,SSSS,12,10,10,HR2,0.985895676
SSL,SSSS,12,10,10,HR3,0.9959335
SSL,SSSS,12,10,10,HE1,0.974510164
SSL,SSSS,12,10,10,HE2,0.974163292
SSL,SSSS,12,10,10,HE3,0.974163292
SSL,SSSS,12,10,10,HS1,0.975902676
SSL,SSSS,12,10,10,HS2,0.967191836
SSL,SSSS,12,10,10,HS3,0.958065564
SSL,SSSS,12,10,10,LH1,0.979142676
SSL,SSSS,12,10,10,LH2,0.979142676
SSL,SSSS,12,10,10,LH3,0.984744688
SSL,SSSS,12,10,10,FH,0.984744688
SSL,SSSS,12,10,10,QI,0.928484252
SSL,SSSS,12,10,100,HR1,0.837981464
SSL,SSSS,12,10,100,HR2,0.837981464
SSL,SSSS,12,10,100,HR3,0.824918604
SSL,SSSS,12,10,100,HE1,0.838337988
SSL,SSSS,12,10,100,HE2,0.831948956
SSL,SSSS,12,10,100,HE3,0.817385216
SSL,SSSS,12,10,100,HS1,0.76776962
SSL,SSSS,12,10,100,HS2,0.76776962
SSL,SSSS,12,10,100,HS3,0.790114272
SSL,SSSS,12,10,100,LH1,0.790114272
SSL,SSSS,12,10,100,LH2,0.829399844
SSL,SSSS,12,10,100,LH3,0.825195116
SSL,SSSS,12,10,100,FH,0.822436468
SSL,SSSS,12,10,100,QI,0.751181024
SSL,SSSS,12,40,10,HR1,0.472252272
SSL,SSSS,12,40,10,HR2,0.485027576
SSL,SSSS,12,40,10,HR3,0.501418292
SSL,SSSS,12,40,10,HE1,0.468054168
SSL,SSSS,12,40,10,HE2,0.46741192
SSL,SSSS,12,40,10,HE3,0.465982032
SSL,SSSS,12,40,10,HS1,0.475710356
SSL,SSSS,12,40,10,HS2,0.46180392
SSL,SSSS,12,40,10,HS3,0.439206824
SSL,SSSS,12,40,10,LH1,0.474337824
SSL,SSSS,12,40,10,LH2,0.477984584
SSL,SSSS,12,40,10,LH3,0.482199832
SSL,SSSS,12,40,10,FH,0.501795936
SSL,SSSS,12,40,10,QI,0.421143912
SSL,SSSS,12,40,100,HR1,0.280626864
SSL,SSSS,12,40,100,HR2,0.27732296
SSL,SSSS,12,40,100,HR3,0.273210144
SSL,SSSS,12,40,100,HE1,0.281991472
SSL,SSSS,12,40,100,HE2,0.27956924
SSL,SSSS,12,40,100,HE3,0.27956924
SSL,SSSS,12,40,100,HS1,0.251825976
SSL,SSSS,12,40,100,HS2,0.253995864
SSL,SSSS,12,40,100,HS3,0.260235212
SSL,SSSS,12,40,100,LH1,0.278321776
